n,t_n,nearest_minimum_t,delta_n,delta_n_null
540,863.189720,863.072000,0.117720,0.402359
541,864.340824,863.608000,0.732824,0.425947
542,865.594664,865.232000,0.362664,0.437690
543,866.423740,866.704000,0.280260,0.436640
544,867.693123,867.808000,0.114877,0.447541
545,868.670494,868.696000,0.025506,0.445755
546,870.846902,870.864000,0.017098,0.444687
547,872.188751,871.560000,0.628751,0.429411
548,873.098979,871.560000,1.538979,0.420706
549,873.908389,874.640000,0.731611,0.429416
550,875.985285,874.976000,1.009285,0.413223
551,876.600826,874.976000,1.624826,0.416357
552,877.654698,878.640000,0.985302,0.446373
553,879.380952,878.872000,0.508952,0.418083
554,880.834649,881.296000,0.461351,0.417810
555,882.386697,882.760000,0.373303,0.446938
556,883.430332,883.096000,0.334332,0.430273
557,884.198743,884.080000,0.118743,0.442713
558,885.272304,885.024000,0.248304,0.445098
559,886.852802,886.504000,0.348802,0.414472
560,888.475567,888.848000,0.372433,0.402895
561,889.735294,889.752000,0.016706,0.447133
562,890.813132,891.816000,1.002868,0.427989
563,892.386433,892.288000,0.098433,0.418165
564,893.119118,893.128000,0.008882,0.431729
565,894.886292,894.992000,0.105708,0.435181
566,895.397920,894.992000,0.405920,0.441899
567,896.632252,896.240000,0.392252,0.426788
568,899.221523,899.280000,0.058477,0.408266
569,899.858885,899.768000,0.090885,0.411283
570,900.849740,900.872000,0.022260,0.390592
571,902.243208,901.312000,0.931208,0.423691
572,903.099674,903.240000,0.140326,0.457892
573,904.702903,904.912000,0.209097,0.417830
574,905.829941,905.712000,0.117941,0.427691
575,907.656729,907.904000,0.247271,0.403766
576,908.333544,907.904000,0.429544,0.406049
577,910.186334,909.064000,1.122334,0.380416
578,911.234951,911.344000,0.109049,0.428461
579,912.331046,912.200000,0.131046,0.439229
580,912.823999,913.048000,0.224001,0.451325
581,914.730097,914.160000,0.570097,0.428994
582,916.355001,916.248000,0.107001,0.425306
583,917.825378,917.680000,0.145378,0.427003
584,918.836535,919.032000,0.195465,0.417184
585,919.448344,919.032000,0.416344,0.424579
586,921.156396,921.328000,0.171604,0.443552
587,922.500629,922.144000,0.356629,0.427599
588,923.285720,923.080000,0.205720,0.432057
589,924.773484,924.944000,0.170516,0.426985
590,926.551553,926.712000,0.160447,0.426944
591,927.850859,928.032000,0.181141,0.425330
592,928.663659,928.256000,0.407659,0.454808
593,929.874093,929.520000,0.354093,0.437302
594,931.009211,930.784000,0.225211,0.435661
595,931.852741,931.912000,0.059259,0.431320
596,934.385307,934.064000,0.321307,0.434226
597,934.995425,935.416000,0.420575,0.425580
598,936.228649,936.048000,0.180649,0.425468
599,937.532926,937.536000,0.003074,0.444571
600,939.024301,939.080000,0.055699,0.438114
601,939.660941,939.600000,0.060941,0.455407
602,941.157000,941.056000,0.101000,0.439999
603,942.052342,942.352000,0.299658,0.429546
604,944.188036,943.872000,0.316036,0.429871
605,945.333563,945.112000,0.221563,0.415402
606,946.765842,946.272000,0.493842,0.407062
607,947.079183,947.552000,0.472817,0.413702
608,948.346646,947.552000,0.794646,0.431353
609,950.151613,949.960000,0.191613,0.435856
610,951.033249,951.376000,0.342751,0.430058
611,952.727989,952.456000,0.271989,0.423474
612,954.129719,954.184000,0.054281,0.432504
613,954.829309,954.352000,0.477309,0.416885
614,956.675479,957.352000,0.676521,0.400904
615,957.510053,957.352000,0.158053,0.437167
616,958.414593,958.520000,0.105407,0.431764
617,959.459169,959.424000,0.035169,0.435455
618,961.669572,961.880000,0.210428,0.424964
619,963.182087,963.120000,0.062087,0.435619
620,963.567040,963.456000,0.111040,0.418834
621,965.055580,965.328000,0.272420,0.443258
622,966.110755,966.136000,0.025245,0.441097
623,967.371154,967.680000,0.308846,0.428479
624,968.636302,968.784000,0.147698,0.432565
625,970.125611,969.952000,0.173611,0.413837
626,971.071491,971.424000,0.352509,0.438526
627,973.185361,973.936000,0.750639,0.433530
